distribution,algorithm,variant,size_label,size,condition,runs,time_min_s,time_avg_s,time_max_s,memory_mb,comparisons,swaps,stable_verified,known_stable,complexity_best,complexity_avg,complexity_worst,complexity_space,status
sequential,Quick Sort (iter),iterative,10,10,random,50,0.0000009,0.00000133,0.0000157,3.9375,62,31,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,10,10,sorted,50,0.0000011,0.00000145,0.0000035,3.9531,53,27,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,10,10,reverse,50,0.0000011,0.00000136,0.0000036,3.9531,52,27,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,10,10,nearly_sorted,50,0.0000014,0.00000171,0.0000037,3.9531,53,26,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,10,10,all_identical,50,0.0000011,0.00000143,0.0000034,3.9531,23,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,20,20,random,50,0.0000014,0.00000153,0.0000038,3.9531,139,71,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,20,20,sorted,50,0.0000011,0.00000378,0.0001276,3.9531,140,71,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,20,20,reverse,50,0.0000011,0.00000125,0.0000029,3.957,137,72,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,20,20,nearly_sorted,50,0.0000011,0.00000121,0.0000028,3.957,141,70,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,20,20,all_identical,50,0.0000006,0.00000115,0.0000248,3.957,43,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,50,50,random,50,0.0000044,0.00000599,0.0000255,3.957,458,248,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,50,50,sorted,50,0.0000044,0.00000677,0.0000286,3.957,462,246,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,50,50,reverse,50,0.000004,0.00000832,0.000058,3.957,442,236,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,50,50,nearly_sorted,50,0.0000039,0.00000666,0.0000267,3.957,451,245,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,50,50,all_identical,50,0.0000032,0.00000452,0.0000319,3.957,103,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,100,100,random,50,0.0000061,0.00000707,0.000021,3.957,1217,670,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,100,100,sorted,50,0.0000065,0.00000824,0.0000266,3.957,1136,621,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,100,100,reverse,50,0.0000057,0.00000998,0.0000487,3.957,1062,585,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,100,100,nearly_sorted,50,0.0000058,0.00001007,0.0000629,3.957,1148,626,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (iter),iterative,100,100,all_identical,50,0.0000026,0.00000436,0.0000274,3.957,203,0,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
