distribution,algorithm,variant,size_label,size,condition,runs,time_min_s,time_avg_s,time_max_s,memory_mb,comparisons,swaps,stable_verified,known_stable,complexity_best,complexity_avg,complexity_worst,complexity_space,status
sequential,Quick Sort (iter),iterative,10,10,random,50,0.00002270,0.00002415,0.00006600,0.0001,62,31,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Quick Sort (rec),recursive,10,10,random,50,0.00002040,0.00002160,0.00003680,0.0001,62,31,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
sequential,Merge Sort (rec),recursive,10,10,random,50,0.00002170,0.00002636,0.00006370,0.0002,24,49,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Merge Sort (iter),iterative,10,10,random,50,0.00002290,0.00002627,0.00008270,0.0002,27,51,stable,stable,O(n log n),O(n log n),O(n log n),O(n),OK
sequential,Heap Sort,iterative,10,10,random,50,0.00001680,0.00002680,0.00005940,0.0001,39,26,stable,unstable,O(n log n),O(n log n),O(n log n),O(1),OK
sequential,Bubble Sort,iterative,10,10,random,50,0.00001430,0.00001542,0.00002920,0.0001,39,18,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Selection Sort,iterative,10,10,random,50,0.00001330,0.00001465,0.00003420,0.0001,45,7,unstable,unstable,O(n^2),O(n^2),O(n^2),O(1),OK
sequential,Insertion Sort,iterative,10,10,random,50,0.00001300,0.00001791,0.00003350,0.0001,27,18,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Shaker Sort,iterative,10,10,random,50,0.00001400,0.00001967,0.00005100,0.0001,39,18,stable,stable,O(n),O(n^2),O(n^2),O(1),OK
sequential,Counting Sort,iterative,10,10,random,50,0.00000460,0.00000596,0.00004000,0.0002,10,10,stable,stable,O(n+k),O(n+k),O(n+k),O(k),OK
sequential,Radix Sort,iterative,10,10,random,50,0.00000620,0.00000865,0.00002790,0.0003,0,10,stable,stable,O(nk),O(nk),O(nk),O(n+k),OK
sequential,Timsort,hybrid,10,10,random,50,0.00000900,0.00001148,0.00003190,0.0001,27,18,stable,stable,O(n),O(n log n),O(n log n),O(n),OK
sequential,Quick Sort (iter),iterative,10,10,sorted,50,0.00001920,0.00002007,0.00003390,0.0001,53,27,stable,unstable,O(n log n),O(n log n),O(n^2),O(log n),OK
