algorithm,size_label,size,condition,time_s,memory_mb,status
Quick Sort,10,10,random,0.000002,3.6484,"OK"
Quick Sort,10,10,sorted,0.000003,3.6523,"OK"
Quick Sort,10,10,reverse,0.000002,3.6523,"OK"
Quick Sort,20,20,random,0.000003,3.6523,"OK"
Quick Sort,20,20,sorted,0.000002,3.6523,"OK"
Quick Sort,20,20,reverse,0.000002,3.6523,"OK"
Quick Sort,50,50,random,0.000007,3.6523,"OK"
Quick Sort,50,50,sorted,0.000008,3.6523,"OK"
Quick Sort,50,50,reverse,0.000007,3.6523,"OK"
Quick Sort,100,100,random,0.000010,3.6523,"OK"
Quick Sort,100,100,sorted,0.000010,3.6523,"OK"
Quick Sort,100,100,reverse,0.000029,3.6523,"OK"
Quick Sort,1k,1000,random,0.000115,3.6523,"OK"
Quick Sort,1k,1000,sorted,0.000036,3.6562,"OK"
Quick Sort,1k,1000,reverse,0.000040,3.6562,"OK"
Quick Sort,100k,100000,random,0.014001,5.2422,"OK"
Quick Sort,100k,100000,sorted,0.003911,5.2305,"OK"
Quick Sort,100k,100000,reverse,0.005868,5.2305,"OK"
Quick Sort,1m,1000000,random,0.144663,12.4844,"OK"
Quick Sort,1m,1000000,sorted,0.049246,12.9883,"OK"
Quick Sort,1m,1000000,reverse,0.069746,12.9883,"OK"
Quick Sort,10m,10000000,random,1.488861,81.6328,"OK"
Quick Sort,10m,10000000,sorted,0.449798,81.6328,"OK"
Quick Sort,10m,10000000,reverse,0.703013,81.6328,"OK"
Quick Sort,100m,100000000,random,15.900786,768.2422,"OK"
Quick Sort,100m,100000000,sorted,4.818129,768.4531,"OK"
Quick Sort,100m,100000000,reverse,7.594225,768.4453,"OK"
Merge Sort,10,10,random,0.000002,3.6484,"OK"
Merge Sort,10,10,sorted,0.000003,3.6523,"OK"
Merge Sort,10,10,reverse,0.000002,3.6523,"OK"
Merge Sort,20,20,random,0.000005,3.6523,"OK"
Merge Sort,20,20,sorted,0.000003,3.6523,"OK"
Merge Sort,20,20,reverse,0.000003,3.6523,"OK"
Merge Sort,50,50,random,0.000008,3.6523,"OK"
Merge Sort,50,50,sorted,0.000009,3.6523,"OK"
Merge Sort,50,50,reverse,0.000007,3.6523,"OK"
Merge Sort,100,100,random,0.000015,3.6523,"OK"
Merge Sort,100,100,sorted,0.000013,3.6523,"OK"
Merge Sort,100,100,reverse,0.000014,3.6523,"OK"
Merge Sort,1k,1000,random,0.000152,3.6523,"OK"
Merge Sort,1k,1000,sorted,0.000067,3.6562,"OK"
Merge Sort,1k,1000,reverse,0.000039,3.6562,"OK"
Merge Sort,100k,100000,random,0.016145,5.2422,"OK"
Merge Sort,100k,100000,sorted,0.008150,5.2305,"OK"
Merge Sort,100k,100000,reverse,0.005543,5.2305,"OK"
Merge Sort,1m,1000000,random,0.135668,12.4844,"OK"
Merge Sort,1m,1000000,sorted,0.062223,12.9883,"OK"
Merge Sort,1m,1000000,reverse,0.059256,12.9883,"OK"
Merge Sort,10m,10000000,random,1.503910,81.6328,"OK"
Merge Sort,10m,10000000,sorted,0.594073,81.6328,"OK"
Merge Sort,10m,10000000,reverse,0.583521,81.6328,"OK"
Merge Sort,100m,100000000,random,16.687050,768.2422,"OK"
Merge Sort,100m,100000000,sorted,6.181639,768.4531,"OK"
Merge Sort,100m,100000000,reverse,6.141707,768.4453,"OK"
Heap Sort,10,10,random,0.000001,3.6484,"OK"
Heap Sort,10,10,sorted,0.000001,3.6523,"OK"
Heap Sort,10,10,reverse,0.000001,3.6523,"OK"
Heap Sort,20,20,random,0.000002,3.6523,"OK"
Heap Sort,20,20,sorted,0.000002,3.6523,"OK"
Heap Sort,20,20,reverse,0.000002,3.6523,"OK"
Heap Sort,50,50,random,0.000005,3.6523,"OK"
Heap Sort,50,50,sorted,0.000005,3.6523,"OK"
Heap Sort,50,50,reverse,0.000004,3.6523,"OK"
Heap Sort,100,100,random,0.000027,3.6523,"OK"
Heap Sort,100,100,sorted,0.000011,3.6523,"OK"
Heap Sort,100,100,reverse,0.000012,3.6523,"OK"
Heap Sort,1k,1000,random,0.000161,3.6562,"OK"
Heap Sort,1k,1000,sorted,0.000217,3.6562,"OK"
Heap Sort,1k,1000,reverse,0.000119,3.6562,"OK"
Heap Sort,100k,100000,random,0.027884,5.2422,"OK"
Heap Sort,100k,100000,sorted,0.023553,5.2305,"OK"
Heap Sort,100k,100000,reverse,0.014512,5.2305,"OK"
Heap Sort,1m,1000000,random,0.352070,12.4844,"OK"
Heap Sort,1m,1000000,sorted,0.145022,12.9883,"OK"
Heap Sort,1m,1000000,reverse,0.143851,12.9883,"OK"
Heap Sort,10m,10000000,random,3.819671,81.6328,"OK"
Heap Sort,10m,10000000,sorted,1.600937,81.6328,"OK"
Heap Sort,10m,10000000,reverse,1.653857,81.6328,"OK"
Heap Sort,100m,100000000,random,54.923546,768.2422,"OK"
Heap Sort,100m,100000000,sorted,17.760452,768.4531,"OK"
Heap Sort,100m,100000000,reverse,17.803124,768.4453,"OK"
Bubble Sort,10,10,random,0.000001,3.6484,"OK"
Bubble Sort,10,10,sorted,0.000000,3.6523,"OK"
Bubble Sort,10,10,reverse,0.000001,3.6523,"OK"
Bubble Sort,20,20,random,0.000001,3.6523,"OK"
Bubble Sort,20,20,sorted,0.000000,3.6523,"OK"
Bubble Sort,20,20,reverse,0.000002,3.6523,"OK"
Bubble Sort,50,50,random,0.000007,3.6523,"OK"
Bubble Sort,50,50,sorted,0.000000,3.6523,"OK"
Bubble Sort,50,50,reverse,0.000006,3.6523,"OK"
Bubble Sort,100,100,random,0.000043,3.6523,"OK"
Bubble Sort,100,100,sorted,0.000000,3.6523,"OK"
Bubble Sort,100,100,reverse,0.000024,3.6523,"OK"
Bubble Sort,1k,1000,random,0.001975,3.6562,"OK"
